"","X","to","for.","and","on","you","this","i","is","in.","be","from","have","we","at","that","deal","will","with","if.","please","are","not","or","as","by","meter","me","your","was","can","need","thanks","any","message","may","should","our","know","original","do","has","all","been","these","day","they","volume","up","out","there","contract","no","more","here","only","us","information","new","company","price","free","get","one","mail","investment","my","but","about","now","which","its","prices","business","contact","news","over","report","money","stock","their","securities","statements","time","many","reply","looking","total_word_count","label"
"11",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,"Spam"
"12",12,0,1.78571428571429,1.78571428571429,0,5.35714285714286,3.57142857142857,0,3.57142857142857,0,0,0,0,1.78571428571429,0,1.78571428571429,0,1.78571428571429,0,0,0,0,0,0,0,0,0,1.78571428571429,0,0,1.78571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78571428571429,0,0,0,0,1.78571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,"Spam"
"13",13,3.2258064516129,1.61290322580645,0,0,1.61290322580645,0,0,3.2258064516129,0,0,0,0,1.61290322580645,1.61290322580645,1.61290322580645,0,0,0,0,0,0,0,0,0,0,0,0,1.61290322580645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61290322580645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61290322580645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,"Spam"
"14",14,2.08333333333333,4.16666666666667,0,0,2.08333333333333,0,0,4.16666666666667,0,2.08333333333333,0,0,0,0,0,0,0,2.08333333333333,0,0,0,0,0,0,2.08333333333333,0,0,6.25,0,0,0,0,0,0,0,2.08333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,"Spam"
"15",15,0.816326530612245,0,0,0,0.816326530612245,0,0.408163265306122,0.408163265306122,1.63265306122449,0.408163265306122,0,0,0,0,0,0,0,1.22448979591837,0,0,0,0.408163265306122,0,0.816326530612245,0,0,0.816326530612245,0.816326530612245,0,0.408163265306122,0,0,0.408163265306122,0,0,0,0.408163265306122,0,0,0.408163265306122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63265306122449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,"Spam"
"16",16,2.73972602739726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36986301369863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36986301369863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,"Spam"
"17",17,1.49253731343284,0,0,5.97014925373134,0,0,1.49253731343284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49253731343284,0,0,0,0,4.47761194029851,0,0,1.49253731343284,0,0,0,0,0,0,1.49253731343284,1.49253731343284,0,0,0,0,1.49253731343284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,"Spam"
"18",18,0,0.840336134453782,0,3.36134453781513,0,0,0.840336134453782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.840336134453782,0,0,3.36134453781513,0,0,3.36134453781513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,"Spam"
"19",19,3.07692307692308,1.53846153846154,1.53846153846154,0,0,1.53846153846154,1.53846153846154,1.53846153846154,0,0,0,0,0,0,1.53846153846154,0,0,1.53846153846154,0,0,0,0,0,1.53846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53846153846154,1.53846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53846153846154,0,0,0,0,1.53846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,"Spam"
"20",20,0.663716814159292,0.663716814159292,0.221238938053097,0.442477876106195,0.442477876106195,0.221238938053097,0,0.221238938053097,0.884955752212389,0.221238938053097,0.221238938053097,0,0,0.663716814159292,0,0,0,0,0,0.221238938053097,0,0.221238938053097,0.442477876106195,0.221238938053097,0,0,0,1.10619469026549,0,0.221238938053097,0,0,0,0.442477876106195,0,0,0.442477876106195,0,0,0,0,0,0,0,0,0,0,0.221238938053097,0,0,0,0,0,0,0.221238938053097,0.884955752212389,0.663716814159292,0,0,0.442477876106195,0,0,0.221238938053097,0.221238938053097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.442477876106195,0,0,0,0,0.221238938053097,0,452,"Spam"
"21",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,"Spam"
"22",22,0.509832483612527,0.509832483612527,0.873998543335761,0,0.364166059723234,0.0728332119446468,0.364166059723234,0.0728332119446468,0.21849963583394,0,0,0.0728332119446468,0.145666423889294,0.291332847778587,0,0,0.0728332119446468,0,0.21849963583394,0.145666423889294,0.0728332119446468,0,0,0.145666423889294,0,0,0.21849963583394,0.145666423889294,0,0,0,0,0,0,0,0,0,0,0,0.145666423889294,0,0.145666423889294,0.145666423889294,0.145666423889294,0,0,0,0,0.21849963583394,0.0728332119446468,0,0,0,0.0728332119446468,0,0,0,0.0728332119446468,0,0,0,0.21849963583394,0,0,0,0.364166059723234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1373,"Spam"
"23",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,"Spam"
"24",24,2.91005291005291,0,2.38095238095238,1.05820105820106,3.17460317460317,1.05820105820106,0,1.05820105820106,2.38095238095238,1.05820105820106,0,0.264550264550265,0,0.793650793650794,0.793650793650794,0,0.529100529100529,0.793650793650794,0.264550264550265,0,0.529100529100529,0.264550264550265,1.05820105820106,0,0,0,0,0.529100529100529,0,1.05820105820106,0,0,0.529100529100529,0,0,0,0.264550264550265,0.264550264550265,0,0.529100529100529,0,0,0,0,0.264550264550265,0.529100529100529,0,0,0,0,0,0.264550264550265,0.264550264550265,0,0,0.264550264550265,0.264550264550265,0,0,0.264550264550265,0.529100529100529,0,0.529100529100529,0,0,0,0,0.264550264550265,0,0,0,0,0,0,0.264550264550265,0,0,0.264550264550265,0,0,0,0,0.529100529100529,0.264550264550265,0,0,378,"Spam"
"25",25,1.91897654584222,1.06609808102345,3.41151385927505,0.426439232409382,1.70575692963753,0,0,0.639658848614073,1.27931769722815,0.639658848614073,0.213219616204691,0.213219616204691,0.852878464818763,0.852878464818763,0.426439232409382,0,0.426439232409382,1.06609808102345,0.213219616204691,0.213219616204691,1.27931769722815,0.639658848614073,0.213219616204691,0.852878464818763,0.852878464818763,0,0,0.852878464818763,0,0.426439232409382,0,0,0.426439232409382,0,0,0,0.639658848614073,0,0.213219616204691,0.213219616204691,0.213219616204691,0.639658848614073,0,0.852878464818763,0,0.213219616204691,0,0,0.426439232409382,0,0,0,0,0,1.27931769722815,0.426439232409382,0,0.639658848614073,0.426439232409382,0.426439232409382,0,0,0.426439232409382,0,0,0,0,0,0,0.213219616204691,0,0,0,0,0,0,0,0.213219616204691,0.213219616204691,0.213219616204691,0,0,0,0,0,0,469,"Spam"
"26",26,3.125,0,0,0,1.04166666666667,0,0,0,0,0,0,0,1.04166666666667,1.04166666666667,0,0,0,2.08333333333333,1.04166666666667,0,3.125,1.04166666666667,1.04166666666667,1.04166666666667,1.04166666666667,0,0,1.04166666666667,0,0,0,0,0,0,0,0,2.08333333333333,0,0,0,0,0,0,0,0,0,0,0,1.04166666666667,0,0,0,2.08333333333333,1.04166666666667,1.04166666666667,0,0,1.04166666666667,0,0,1.04166666666667,1.04166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125,0,0,0,0,0,0,0,0,96,"Spam"
"27",27,1.81818181818182,3.63636363636364,0,1.81818181818182,0,0,0,3.63636363636364,0,0,0,0,0,0,1.81818181818182,0,0,1.81818181818182,0,0,0,0,0,0,0,0,0,1.81818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81818181818182,0,1.81818181818182,1.81818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,"Spam"
"28",28,1.42857142857143,0,2.85714285714286,1.42857142857143,1.42857142857143,0,0,0,0,0,0,0,0,0,0,0,0,1.42857142857143,0,0,0,0,0,0,0,0,0,1.42857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,"Spam"
"29",29,0,0,0,5.26315789473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26315789473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,"Spam"
"30",30,1.63934426229508,3.27868852459016,1.63934426229508,0,0,0,1.63934426229508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63934426229508,0,0,0,0,1.63934426229508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63934426229508,0,0,0,0,0,0,0,0,61,"Spam"
"31",31,1.74496644295302,1.0738255033557,2.41610738255034,0.536912751677852,0,0.536912751677852,0,1.0738255033557,1.61073825503356,1.20805369127517,0.268456375838926,0,0,0.268456375838926,0.805369127516779,0,0.536912751677852,0.939597315436242,0,0.134228187919463,0.268456375838926,0.268456375838926,0.671140939597315,0.536912751677852,0.402684563758389,0,0,0,0,0.268456375838926,0,0,0.134228187919463,0,0.134228187919463,0.134228187919463,0,0,0,0,0.268456375838926,0.134228187919463,0,0,0.134228187919463,0,0,0,0.134228187919463,0,0,0.134228187919463,0.268456375838926,0,0.134228187919463,0,0.268456375838926,0,0.134228187919463,0.134228187919463,0,0,0,0,0.268456375838926,0,0,0,0,0.134228187919463,0.536912751677852,0,0,0,0.671140939597315,0.268456375838926,0.536912751677852,0,0.536912751677852,0,0,0.402684563758389,0.134228187919463,0,0,0.268456375838926,745,"Spam"
"32",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,"Spam"
"33",33,0.691244239631336,0.806451612903226,0.230414746543779,0.691244239631336,0.460829493087558,0.806451612903226,0,0.460829493087558,1.15207373271889,0.230414746543779,0.115207373271889,0,0.230414746543779,0.115207373271889,0.230414746543779,0,0.115207373271889,0.345622119815668,0.115207373271889,0.115207373271889,0,0.230414746543779,0.806451612903226,0.345622119815668,0.115207373271889,0,0,0.691244239631336,0,0.345622119815668,0,0,0.115207373271889,0.230414746543779,0,0,0.115207373271889,0,0,0,0,0,0,0,0.115207373271889,0,0,0.115207373271889,0,0,0,0,0.115207373271889,0,0.115207373271889,0.345622119815668,0.345622119815668,0.115207373271889,0.115207373271889,0,0,0.230414746543779,0,0.115207373271889,0,0,0,0,0,0.115207373271889,0.115207373271889,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115207373271889,0,868,"Spam"
"34",34,0,0,1.44927536231884,0,0,0,1.44927536231884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,"Spam"
"35",35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"Spam"
"36",36,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,"Spam"
"37",37,4,0,0,0,1.33333333333333,0,0,0,0,0,0,0,1.33333333333333,1.33333333333333,0,0,0,2.66666666666667,1.33333333333333,0,2.66666666666667,0,1.33333333333333,1.33333333333333,1.33333333333333,0,0,1.33333333333333,0,0,0,0,0,0,0,0,2.66666666666667,0,0,0,0,0,0,0,0,0,0,0,1.33333333333333,0,0,0,1.33333333333333,1.33333333333333,1.33333333333333,0,0,1.33333333333333,0,0,1.33333333333333,1.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33333333333333,0,0,0,0,0,0,0,0,75,"Spam"
"38",38,0,0,1.96078431372549,0,0,0,0,0,0,0,0,0,0,0,1.96078431372549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96078431372549,0,0,0,0,0,0,0,1.96078431372549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96078431372549,0,0,0,0,0,0,0,0,51,"Spam"
"39",39,0,1.16959064327485,0,0,0.584795321637427,0,0,0,0.292397660818713,0,0,0,0,0,0,0,0.292397660818713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292397660818713,0,0.292397660818713,0,0,0,0,0,0,0,0,0,0,0,0,0.584795321637427,0,0,0.292397660818713,0,0,0.292397660818713,0,0,0,0.292397660818713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,"Spam"
"40",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49253731343284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49253731343284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,"Spam"
"41",41,3.55029585798817,0.591715976331361,1.18343195266272,0,2.9585798816568,1.77514792899408,0.591715976331361,0.591715976331361,1.77514792899408,0,0,0,0,0,1.18343195266272,0,0,0,1.18343195266272,0,0.591715976331361,0,0.591715976331361,0.591715976331361,0,0,0.591715976331361,3.55029585798817,0,0,0,0,0,0,0,0.591715976331361,1.18343195266272,0.591715976331361,0,1.18343195266272,0,1.18343195266272,0,0,0.591715976331361,0,0,0,0,0,0,0.591715976331361,0,0,0,0,0,0,0,0,0,0.591715976331361,0,0,0,0,0,0,0,0.591715976331361,1.18343195266272,0,0,0,0,0,0,0,0,0,0,0,0.591715976331361,0.591715976331361,0,0.591715976331361,169,"Spam"
"42",42,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,"Spam"
"43",43,0.338983050847458,0.677966101694915,0.338983050847458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338983050847458,0,0,0,0,0.338983050847458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,"Spam"
"44",44,0,1.14503816793893,0,0,0.763358778625954,0,0,0,0.381679389312977,0,0,0,0,0,0,0,0.381679389312977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.381679389312977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.763358778625954,0,0,0.381679389312977,0,0,0.381679389312977,0,0,0,0.381679389312977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,"Spam"
"45",45,0,0,0,0,0,0,0,0,0,9.09090909090909,0,0,0,0,0,0,0,9.09090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,"Spam"
"46",46,1.85185185185185,3.7037037037037,0.925925925925926,0,0,0,0,1.85185185185185,0,0,0,0,0.925925925925926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85185185185185,0,0,0,0,0.925925925925926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.925925925925926,0,0,0.925925925925926,0,0.925925925925926,0,0,0,0,0,0.925925925925926,0,0.925925925925926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,"Spam"
"47",47,0,0,0,0,0,0,0.869565217391304,0,0.869565217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,"Spam"
"48",48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49253731343284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,"Spam"
"49",49,0,0,0,0,0,0,1.36363636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,"Spam"
"50",50,1.66666666666667,0.833333333333333,0.833333333333333,0,0,1.66666666666667,0,2.5,0,0.833333333333333,0,0.833333333333333,0,0,0,0,0,0,0,0.833333333333333,0,1.66666666666667,0,0,0,0,0,1.66666666666667,0,0,0,0,0,0.833333333333333,0,0.833333333333333,0,0,0,0.833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333333333,0,120,"Spam"
"51",51,2.02020202020202,4.04040404040404,1.01010101010101,0,0,0,0,2.02020202020202,0,0,0,0,1.01010101010101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02020202020202,0,0,1.01010101010101,0,1.01010101010101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01010101010101,0,0,1.01010101010101,0,1.01010101010101,0,0,0,0,0,0,0,1.01010101010101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,"Spam"
