"","word_count","avg_word_length","spl_char_count","digit_count","space_count","char_count","a","b","c","d","e","f","g","h","i","j","k","l","m","n","o","p","q","r","s","t","u","v","w","x","y","z","0","1","2","3","4","5","6","7","8","9","small_word_count","large_word_count","label"
"31",468,4.92948717948718,172,93,575,3054,145,44,88,70,275,53,23,48,154,1,8,94,58,167,213,85,3,164,146,183,88,17,23,9,55,1,28,12,25,1,3,11,2,4,5,2,195,57,"Spam"
"32",22,3.40909090909091,12,8,32,119,5,1,4,2,9,1,4,3,2,1,1,1,3,1,4,3,1,6,5,6,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,16,0,"Spam"
"33",103,5,20,8,116,651,54,14,14,20,51,9,8,17,39,2,4,32,16,32,35,8,1,31,24,45,20,4,13,1,12,1,4,1,1,1,1,1,1,1,1,1,34,11,"Spam"
"34",123,5.32520325203252,22,30,132,809,32,8,26,18,83,22,11,18,53,2,9,26,21,44,54,10,3,50,34,55,19,8,8,1,11,1,3,3,4,1,2,4,1,2,8,4,45,21,"Spam"
"35",174,4.5632183908046,64,52,221,1079,71,18,38,35,84,7,11,30,48,1,7,32,43,47,47,19,1,44,46,44,21,6,14,4,24,1,4,3,5,7,6,4,2,8,8,5,85,22,"Spam"
"36",123,5.32520325203252,22,30,132,809,32,8,26,18,83,22,11,18,53,2,9,26,21,44,54,10,3,50,34,55,19,8,8,1,11,1,3,3,4,1,2,4,1,2,8,4,45,21,"Spam"
"37",2437,4.99466557242511,1258,178,3535,16965,783,238,415,355,1475,197,219,415,871,25,97,453,414,839,1021,251,15,768,944,1052,418,128,275,15,296,15,58,27,23,6,3,14,8,20,8,11,957,320,"Spam"
"38",86,4.80232558139535,42,1,124,579,38,8,14,11,41,4,8,20,35,3,6,18,15,23,23,11,2,23,20,29,11,14,6,14,6,10,1,1,1,1,1,1,1,1,1,1,35,9,"Spam"
"39",96,4.875,18,5,105,591,35,1,17,17,50,15,3,12,26,1,5,9,18,30,45,18,1,35,30,44,21,3,17,1,11,1,2,1,1,1,1,1,1,1,1,1,37,10,"Spam"
"40",31,4.48387096774194,2,4,31,172,17,2,8,2,20,3,2,8,5,1,1,5,3,11,8,5,1,7,1,16,3,1,5,1,2,1,1,1,1,1,2,1,1,1,1,1,16,3,"Spam"
"41",84,8.25,7,2,88,788,81,16,40,20,71,8,16,20,44,1,9,35,24,47,39,20,3,54,37,45,30,6,3,9,13,1,1,1,1,1,1,1,1,1,1,1,5,28,"Spam"
"42",363,5.0633608815427,71,116,419,2328,146,30,53,69,184,42,23,46,109,2,10,81,73,132,154,43,3,136,94,137,73,10,24,3,43,2,30,16,15,8,11,9,8,8,5,6,135,42,"Spam"
"43",469,4.9275053304904,73,7,521,2905,163,45,65,86,280,61,28,90,182,3,11,95,73,161,197,30,3,142,142,215,90,28,37,10,65,1,1,2,4,1,1,1,1,1,1,1,187,69,"Spam"
"44",515,4.93980582524272,65,28,567,3176,194,37,93,79,291,57,33,99,190,4,4,112,58,202,191,47,6,155,176,236,105,33,49,4,61,1,8,3,3,5,2,2,1,2,2,1,211,64,"Spam"
"45",65,7.12307692307692,5,1,68,536,32,14,23,11,49,5,12,10,35,2,2,30,12,26,35,16,1,35,33,33,22,6,4,1,13,1,1,1,1,1,1,1,1,1,1,1,5,16,"Spam"
"46",148,5.04054054054054,50,1,177,973,73,15,34,34,99,12,6,8,46,4,2,21,52,26,79,12,1,64,54,53,16,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,56,22,"Spam"
"47",417,4.6810551558753,51,11,457,2460,148,37,61,70,229,48,23,56,151,1,9,81,59,148,155,40,1,123,149,158,90,17,28,5,51,4,4,1,3,1,1,1,1,1,1,1,170,37,"Spam"
"48",2437,4.99466557242511,1258,178,3535,16965,783,238,415,355,1475,197,219,415,871,25,97,453,414,839,1021,251,15,768,944,1052,418,128,275,15,296,15,58,27,23,6,3,14,8,20,8,11,957,320,"Spam"
"49",326,3.15950920245399,60,138,380,1470,39,29,28,31,69,24,22,23,76,7,18,59,19,61,80,33,11,68,47,47,27,20,18,7,22,7,9,9,22,23,14,15,11,10,10,15,214,13,"Spam"
"50",1737,4.9349453080023,1170,89,2793,12535,533,192,300,243,1034,168,142,317,600,18,69,294,288,555,746,185,20,508,622,781,291,78,267,22,203,7,18,13,9,1,6,12,2,14,11,3,683,222,"Spam"
"51",58,4.94827586206897,16,8,68,371,38,2,11,16,34,5,5,5,13,1,1,13,8,23,16,7,2,20,16,15,6,2,10,1,8,2,1,4,1,1,1,1,1,1,1,1,21,3,"Spam"
"52",19,9.94736842105263,6,1,23,218,12,1,6,7,14,4,9,4,9,3,1,10,10,7,12,4,6,18,10,12,5,7,5,1,3,9,1,1,1,1,1,1,1,1,1,1,2,11,"Spam"
"53",442,5.27601809954751,89,89,507,2928,186,29,90,75,222,66,36,60,162,2,12,83,75,159,209,57,5,185,113,193,97,9,42,3,68,5,32,12,12,4,11,8,3,3,2,2,158,63,"Spam"
"54",191,4.82198952879581,21,1,209,1151,81,11,26,32,115,18,12,36,59,3,13,34,38,55,78,16,1,58,52,94,33,13,12,1,30,1,1,1,1,1,1,1,1,1,1,1,73,17,"Spam"
"55",102,6.26470588235294,20,5,108,767,50,11,37,30,71,10,9,21,56,5,9,41,20,35,37,11,4,34,26,56,19,7,12,4,18,1,2,2,1,1,1,1,1,1,1,1,29,26,"Spam"
"56",347,5.16138328530259,96,101,426,2313,138,25,51,68,170,53,25,42,118,3,16,86,57,142,152,47,3,127,83,134,67,13,23,4,41,2,40,10,7,12,7,3,4,5,6,7,137,41,"Spam"
"57",69,8.02898550724638,3,1,70,627,53,23,20,13,51,2,5,7,55,1,13,28,19,27,44,32,1,39,23,37,15,17,13,2,14,1,1,1,1,1,1,1,1,1,1,1,5,27,"Spam"
"58",170,5,45,12,202,1097,67,10,25,28,108,13,16,33,47,2,3,36,31,58,80,14,1,55,48,72,30,17,18,1,26,1,1,3,3,2,1,2,1,1,1,1,63,20,"Spam"
"59",90,5.63333333333333,25,7,108,640,28,14,25,16,56,11,11,15,22,6,9,25,15,29,39,13,4,36,25,33,19,8,15,6,14,6,4,2,1,1,1,1,1,1,1,1,37,15,"Spam"
"60",353,4.98583569405099,71,113,414,2245,132,29,48,69,181,37,23,45,96,2,9,87,66,126,146,39,3,129,89,137,70,9,23,6,46,1,29,10,16,17,8,11,7,6,5,4,141,37,"Spam"
"61",180,4.32777777777778,110,49,264,1153,63,11,25,19,84,13,14,31,47,3,15,35,32,45,57,11,1,44,53,66,16,9,20,1,17,1,21,1,14,1,2,3,1,1,1,7,75,11,"Spam"
"62",56,5.19642857142857,25,1,73,389,17,2,15,7,40,1,7,12,13,1,6,12,11,12,25,6,1,15,22,28,14,2,7,1,14,1,1,1,1,1,1,1,1,1,1,1,22,11,"Spam"
"63",92,4.71739130434783,35,10,116,585,34,12,20,8,40,10,5,12,27,3,5,10,4,30,45,11,1,27,41,33,25,3,6,1,10,2,5,1,3,1,1,1,1,1,1,1,36,6,"Spam"
"64",157,4.43949044585987,28,9,175,900,59,11,22,17,78,12,14,29,41,3,14,29,30,43,56,11,1,42,52,66,16,7,20,1,16,1,1,1,1,1,2,3,1,1,1,1,61,10,"Spam"
"65",13,3.76923076923077,1,1,12,62,2,3,3,1,10,1,1,1,4,1,1,3,1,1,3,1,1,5,1,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,0,"Spam"
"66",469,4.9275053304904,73,7,521,2905,163,45,65,86,280,61,28,90,182,3,11,95,73,161,197,30,3,142,142,215,90,28,37,10,65,1,1,2,4,1,1,1,1,1,1,1,187,69,"Spam"
"67",549,5.75227686703097,155,153,698,4011,287,32,124,101,265,49,35,55,300,2,23,136,90,275,250,104,3,201,276,221,66,25,39,5,40,1,66,9,33,21,5,3,1,6,5,4,186,107,"Spam"
"68",139,4.8705035971223,14,8,146,837,56,7,27,23,81,15,11,20,38,5,4,30,17,45,48,10,5,47,35,48,35,17,11,5,28,1,5,2,1,1,1,1,1,1,1,1,56,15,"Spam"
"69",53,5.07547169811321,25,2,68,362,21,4,9,13,29,6,9,16,17,1,2,8,6,17,20,9,1,26,12,15,12,6,4,1,4,1,1,1,1,1,1,1,1,1,1,1,16,5,"Spam"
"70",131,6.16030534351145,62,10,177,1046,73,11,33,34,99,10,18,19,59,2,10,36,21,46,61,41,1,65,52,48,25,8,7,9,5,4,4,2,1,1,1,1,1,2,1,1,35,27,"Spam"
"71",42,5.71428571428571,13,11,50,303,7,9,11,2,32,1,3,6,18,2,1,3,9,11,15,7,1,20,21,18,15,4,4,2,9,1,2,3,2,1,4,1,1,1,1,1,12,9,"Spam"
"72",62,4.7741935483871,21,8,75,392,23,3,15,11,32,5,8,10,22,1,5,16,2,11,24,7,1,28,22,18,11,8,1,1,4,1,1,1,2,1,2,1,2,1,1,1,20,5,"Spam"
"73",139,5.66187050359712,54,28,177,1018,60,11,26,21,97,18,15,21,56,2,5,51,18,53,61,22,1,44,53,62,22,9,17,4,8,1,9,3,4,2,1,1,1,4,1,3,39,26,"Spam"
"74",1482,4.96896086369771,1118,141,2493,10975,441,134,268,214,838,135,128,266,507,17,60,271,293,476,655,208,15,431,514,642,256,64,196,12,175,7,57,26,10,6,7,7,3,10,12,3,575,203,"Spam"
"75",99,6.45454545454545,41,9,123,803,41,23,28,31,57,13,29,21,34,6,12,21,18,38,41,27,9,31,30,41,23,5,20,13,12,6,1,1,3,1,1,1,1,1,1,2,35,26,"Spam"
"76",330,4.64545454545455,178,79,485,2196,152,17,67,59,173,28,38,37,114,4,10,60,29,96,91,38,1,113,115,95,46,21,19,4,27,1,15,14,9,4,7,10,4,11,1,4,126,27,"Spam"
"77",118,6.60169491525424,7,2,119,905,81,16,29,27,79,6,20,21,62,4,9,45,35,57,55,21,1,50,47,59,24,3,7,1,19,1,1,1,1,1,1,1,1,1,1,1,16,31,"Spam"
"78",170,5,45,12,202,1097,67,10,25,28,108,13,16,33,47,2,3,36,31,58,80,14,1,55,48,72,30,17,18,1,26,1,1,3,3,2,1,2,1,1,1,1,63,20,"Spam"
"79",43,4.67441860465116,4,4,44,249,12,5,7,13,27,7,1,7,13,1,1,11,2,10,16,4,1,10,6,15,14,3,3,1,7,1,2,1,1,1,1,1,1,1,1,1,16,2,"Spam"
"80",34,4.91176470588235,8,2,38,213,21,3,5,3,21,3,4,7,12,1,1,14,5,14,10,4,1,9,9,3,2,7,5,2,1,1,1,1,1,1,1,1,1,1,1,1,10,4,"Spam"
"81",242,4.68181818181818,94,64,316,1543,81,11,24,38,124,29,11,45,79,5,13,50,41,66,94,23,1,56,65,91,44,15,18,1,44,1,20,11,7,5,5,3,1,2,6,5,97,28,"Spam"
"82",34,4.79411764705882,7,2,37,207,20,3,3,4,22,3,3,5,10,1,1,15,6,11,10,1,1,13,7,2,4,8,5,2,3,1,1,1,1,1,1,1,1,1,1,1,10,3,"Spam"
"83",34,4.91176470588235,7,2,37,211,18,3,3,5,27,3,3,6,10,1,1,14,6,13,10,2,1,11,9,2,2,8,5,3,1,1,1,1,1,1,1,1,1,1,1,1,8,3,"Spam"
"84",180,4.32777777777778,110,49,264,1153,63,11,25,19,84,13,14,31,47,3,15,35,32,45,57,11,1,44,53,66,16,9,20,1,17,1,21,1,14,1,2,3,1,1,1,7,75,11,"Spam"
"85",16,7.8125,7,1,19,151,8,2,5,5,10,4,4,1,11,3,1,9,5,4,4,9,1,5,7,8,4,5,2,2,4,3,1,1,1,1,1,1,1,1,1,1,1,4,"Spam"
"86",139,6.41007194244604,20,4,152,1063,62,11,32,29,91,29,12,29,64,7,8,45,21,54,76,29,7,67,61,61,31,15,20,4,16,6,1,1,1,1,1,1,1,1,1,1,50,32,"Spam"
"87",157,4.68152866242038,51,32,197,983,56,13,23,28,89,15,12,33,44,4,5,31,21,45,58,10,1,43,36,72,22,12,13,1,17,1,10,2,4,1,7,3,2,2,1,1,61,13,"Spam"
"88",90,5.12222222222222,20,8,102,583,33,11,15,26,35,10,14,17,27,7,12,12,10,23,37,17,5,22,30,30,14,14,12,6,11,3,3,2,1,1,1,1,1,1,1,1,36,13,"Spam"
"89",48,7.85416666666667,7,2,52,436,48,9,15,16,25,5,5,8,33,1,4,23,14,15,26,11,1,26,20,25,10,15,11,2,8,1,1,1,1,1,1,1,1,1,1,1,3,16,"Spam"
"90",52,7.13461538461539,4,1,54,429,29,10,18,11,56,3,7,7,28,1,2,22,12,15,26,11,1,26,20,29,12,7,4,1,11,2,1,1,1,1,1,1,1,1,1,1,6,16,"Spam"
"91",542,4.82472324723247,117,41,640,3372,230,38,91,89,267,44,56,132,186,9,16,116,77,199,196,41,1,148,152,240,101,16,59,7,63,1,5,6,3,4,3,3,4,2,1,10,219,56,"Spam"
"92",152,7.63815789473684,40,2,170,1371,111,10,52,77,136,5,8,3,70,4,3,34,54,60,121,28,6,101,116,82,52,14,9,1,1,2,1,1,1,1,1,1,1,1,1,1,40,45,"Spam"
"93",377,4.57029177718833,66,7,415,2204,144,23,56,82,186,31,37,76,117,3,12,90,36,122,150,39,1,94,89,145,70,20,37,1,55,1,1,2,2,1,1,1,1,1,1,1,157,28,"Spam"
"94",25,4.52,8,1,28,149,7,2,5,3,16,5,1,3,7,1,2,4,6,7,11,2,1,10,5,9,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,8,2,"Spam"
"95",403,5.75930521091811,165,50,530,3016,182,39,100,71,269,47,48,57,207,3,14,109,59,172,183,55,3,129,128,209,79,27,23,13,43,2,8,5,23,1,1,4,1,1,5,2,149,98,"Spam"
"96",18,8,11,20,26,181,13,2,4,1,13,2,1,1,12,1,12,8,6,10,6,1,1,5,6,8,3,1,6,1,1,1,2,4,6,2,1,1,1,1,4,1,6,9,"Spam"
"97",194,4.89690721649485,41,27,233,1224,55,9,42,28,117,22,18,25,71,3,10,47,19,75,82,26,1,81,43,64,26,17,10,5,25,2,14,6,3,3,1,1,1,1,1,1,79,22,"Spam"
"98",48,5.5625,17,18,59,343,15,5,6,10,31,9,4,5,19,2,5,8,6,14,19,4,1,29,16,14,12,2,2,2,9,1,2,2,1,1,2,5,2,1,1,2,13,5,"Spam"
"99",152,4.96710526315789,25,7,173,953,57,17,16,27,97,15,20,48,44,4,5,31,18,44,46,11,1,59,49,70,27,9,12,1,20,1,2,1,2,1,1,1,1,1,1,1,60,19,"Spam"
"100",195,4.87692307692308,41,27,234,1226,54,9,42,27,121,23,17,25,70,3,10,48,19,75,81,25,1,80,44,64,26,17,11,5,25,2,14,6,3,3,1,1,1,1,1,1,80,22,"Spam"
"101",18,4.83333333333333,7,3,20,114,5,4,2,2,5,2,6,3,4,3,2,3,1,2,4,3,3,4,7,4,4,3,3,1,1,3,1,1,1,1,1,1,1,1,1,1,9,3,"Spam"
"102",93,4.87096774193548,19,8,103,575,33,1,18,14,47,12,3,14,18,1,4,10,20,23,47,18,1,38,29,46,19,2,17,1,11,1,4,1,1,1,1,1,1,1,1,1,34,9,"Spam"
"103",157,4.43949044585987,28,9,175,900,59,11,22,17,78,12,14,29,41,3,14,29,30,43,56,11,1,42,52,66,16,7,20,1,16,1,1,1,1,1,2,3,1,1,1,1,61,10,"Spam"
"104",78,7.37179487179487,52,8,113,740,43,24,23,18,56,8,17,19,37,8,4,22,26,37,28,38,8,32,25,33,20,12,8,6,8,7,2,1,1,1,1,1,1,1,2,1,19,24,"Spam"
"105",114,4.78070175438596,12,1,121,678,42,9,15,15,66,16,15,10,42,1,3,25,15,34,64,9,3,41,35,31,19,4,10,1,20,1,1,1,1,1,1,1,1,1,1,1,41,10,"Spam"
"106",42,5.71428571428571,13,11,50,303,7,9,11,2,32,1,3,6,18,2,1,3,9,11,15,7,1,20,21,18,15,4,4,2,9,1,2,1,3,1,4,1,1,1,1,1,12,9,"Spam"
"107",321,2.92523364485981,60,150,376,1375,38,21,23,13,58,13,24,22,65,19,17,68,14,50,69,21,9,60,48,52,17,10,22,6,25,5,8,11,30,18,17,15,16,1,12,22,219,4,"Spam"
"108",67,7.64179104477612,2,2,67,581,45,15,16,21,52,3,12,11,33,1,13,41,16,26,36,20,1,42,15,20,16,20,21,1,13,1,1,1,1,1,1,1,1,1,1,1,5,19,"Spam"
"109",122,4.0983606557377,42,53,153,695,33,5,23,25,54,11,15,5,28,1,3,31,8,22,39,12,1,39,30,32,10,5,1,3,10,3,20,8,7,1,6,2,3,1,4,2,57,6,"Spam"
"110",106,6.5,17,15,113,819,54,15,23,17,72,13,19,24,41,7,13,44,14,50,66,12,1,44,48,45,19,4,9,1,21,1,1,6,2,2,1,3,1,1,1,1,35,19,"Spam"
"111",86,5.13953488372093,19,6,95,556,45,4,10,21,36,6,15,16,37,1,4,20,17,31,36,13,1,28,40,29,13,5,6,1,2,1,2,1,1,1,1,1,1,1,1,2,28,13,"Spam"
"112",891,5.11223344556678,159,80,1034,5748,315,60,169,155,568,94,76,145,375,10,25,166,118,321,337,118,4,297,326,441,129,71,63,17,69,6,18,16,15,8,2,8,3,3,3,4,322,127,"Spam"
"113",11,5.72727272727273,4,1,12,79,6,2,6,1,6,1,3,5,4,1,1,3,2,2,3,2,1,3,3,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,"Spam"
"114",194,4.48453608247423,58,33,237,1165,54,15,38,30,102,19,14,24,66,2,5,32,28,68,73,25,1,51,45,73,26,11,12,1,23,1,1,4,5,4,1,7,4,1,1,6,90,18,"Spam"
"115",25,5.92,3,1,26,177,7,2,6,4,24,4,1,4,8,1,1,3,6,11,9,8,1,14,17,11,7,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,"Spam"
"116",55,5.4,16,6,66,379,25,6,16,14,38,6,6,8,15,1,2,10,8,16,25,5,1,22,12,21,8,2,13,1,10,1,1,4,1,1,1,1,1,1,1,1,13,8,"Spam"
"117",277,6.05054151624549,73,28,346,2095,148,51,84,65,178,21,30,61,104,7,19,80,60,94,116,54,7,121,89,127,52,12,19,6,32,11,7,4,7,4,1,2,1,1,1,3,52,49,"Spam"
"118",112,5.28571428571429,30,39,134,756,40,5,18,17,70,13,6,21,44,1,2,19,14,25,50,16,1,40,39,47,19,14,13,7,12,1,3,5,11,6,5,3,1,3,2,1,46,15,"Spam"
"119",417,4.6810551558753,51,11,457,2460,148,37,61,70,229,48,23,56,151,1,9,81,59,148,155,40,1,123,149,158,90,17,28,5,51,4,4,1,3,1,1,1,1,1,1,1,170,37,"Spam"
"120",129,4.53488372093023,27,7,153,765,41,9,14,18,67,9,15,22,40,2,3,22,15,37,46,13,1,45,46,51,25,8,11,2,15,1,2,1,2,1,1,1,1,1,1,1,57,18,"Spam"
"121",16,5.4375,7,1,21,115,5,4,4,1,9,3,1,1,9,1,1,6,5,6,4,3,1,3,8,8,2,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,"Spam"
"122",822,5.72992700729927,222,97,986,5918,338,110,214,156,522,91,86,140,343,5,24,206,136,292,423,128,2,367,369,360,120,53,49,18,60,1,14,15,20,6,5,9,14,6,6,2,282,158,"Spam"
"123",133,6.34586466165414,20,4,146,1010,61,10,26,32,91,24,10,27,58,4,4,47,22,47,74,24,4,69,60,58,35,11,17,2,18,5,1,1,1,1,1,1,1,1,1,1,47,30,"Spam"
"124",245,3.17959183673469,51,100,288,1118,65,16,35,23,61,10,23,15,42,1,23,34,15,43,48,10,6,47,34,42,23,12,22,2,23,4,5,9,21,10,7,21,11,2,9,5,162,10,"Spam"
"125",531,4.95291902071563,68,11,585,3283,221,42,86,94,315,73,40,103,219,8,22,96,93,196,202,44,1,165,167,219,74,23,32,7,76,1,1,4,4,1,1,1,1,2,1,1,221,78,"Spam"
"126",36,4.55555555555556,9,2,41,214,19,3,4,5,22,3,3,6,9,1,1,13,8,12,13,1,1,12,8,2,2,7,6,2,1,1,1,1,1,1,1,1,1,1,1,1,11,3,"Spam"
"127",49,4.3469387755102,8,1,51,272,13,5,5,2,21,6,6,10,22,2,1,20,4,15,12,4,1,7,14,17,9,4,7,2,6,1,1,1,1,1,1,1,1,1,1,1,21,1,"Spam"
"128",69,4.23188405797101,8,9,73,373,20,8,12,15,28,6,8,21,16,2,3,17,9,14,23,5,1,14,14,21,10,2,6,1,7,2,1,2,1,3,1,1,1,1,1,2,34,6,"Spam"
"129",122,5.50819672131148,75,122,192,939,44,13,19,25,50,21,3,9,38,1,4,19,11,26,66,26,2,45,55,30,11,7,15,6,3,1,64,12,11,4,6,4,8,5,3,5,47,28,"Spam"
"130",101,5.59405940594059,21,40,107,693,35,7,29,13,67,10,5,18,31,3,4,12,18,33,49,7,2,46,31,50,23,7,8,1,16,1,3,7,7,10,5,2,4,1,2,1,36,15,"Spam"
"131",56,7.41071428571429,4,1,58,477,36,9,23,11,53,11,9,16,29,1,4,27,11,24,22,9,2,35,21,30,15,9,2,2,3,1,1,1,1,1,1,1,1,1,1,1,2,17,"Spam"
"132",445,4.75056179775281,119,16,536,2769,156,18,75,87,292,37,44,57,144,8,18,72,48,139,168,51,4,161,125,189,70,38,29,7,61,1,3,3,4,1,1,1,2,1,1,1,173,37,"Spam"
"133",34,4.79411764705882,9,8,39,211,20,3,4,4,21,2,3,6,7,1,1,12,6,11,11,2,1,14,6,2,3,7,5,2,3,1,1,1,1,1,1,2,1,1,2,1,10,3,"Spam"
